pickup_hour,avg_distance,max_distance,min_distance,total_rides
0,4.36722751487532,117315.0,0.0,1192057
1,4.259111151112745,200346.0,0.0,775046
2,3.450597985685933,84440.1,0.0,504188
3,5.88256910553246,237906.0,0.0,331791
4,10.328787075836198,145534.0,0.0,243817
5,20.50860038350818,268958.0,0.0,264392
6,13.754800050701101,331689.0,0.0,586403
7,11.953494513908911,327025.0,0.0,1133880
8,7.002117855925941,328828.0,0.0,1562647
9,4.781988741693156,253836.0,0.0,1709199
10,4.421236182255071,176745.0,0.0,1831577
11,4.037688115228545,198811.0,0.0,1991266
12,4.105890025451121,140818.0,0.0,2178786
13,4.275765166761522,135357.0,0.0,2266971
14,5.08377832940177,330398.0,0.0,2432604
15,4.768879513001458,242764.0,0.0,2512081
16,4.599046156194907,221375.0,0.0,2561466
17,4.331743188191008,366343.0,0.0,2813259
18,3.738161845195611,247575.0,0.0,2955735
19,4.283157713037984,398609.0,0.0,2598187
20,4.288245802143812,318501.0,0.0,2358284
21,4.413904334878687,270767.0,0.0,2405757
22,4.381094501131845,223464.0,0.0,2228360
23,4.751090189290614,319112.0,0.0,1731967
