trip_distance,total_amount
1.72,22.7
1.8,18.75
4.7,31.3
1.4,17.0
0.8,16.1
4.7,41.5
10.82,64.95
3.0,30.4
5.44,36.0
0.04,8.0
0.75,12.9
1.2,23.85
8.2,85.09
0.4,12.05
0.8,11.5
5.0,25.45
1.5,22.25
1.5,17.3
2.57,32.7
0.66,14.38
1.7,41.5
0.94,16.32
23.9,127.94
1.08,16.32
5.88,36.4
2.22,18.5
5.1,33.9
2.09,21.36
8.89,60.72
2.1,23.0
11.51,67.49
1.79,24.8
2.5,17.1
1.6,17.85
1.1,12.9
0.7,13.8
1.1,13.6
2.96,23.88
1.2,25.56
2.42,28.3
5.28,43.2
1.47,17.0
2.41,23.04
1.04,12.9
2.41,27.24
1.06,16.4
0.83,17.0
1.94,23.88
2.23,21.2
0.78,15.25
2.02,22.2
0.57,14.3
11.48,63.36
8.89,64.32
5.27,51.6
6.6,33.2
3.91,24.1
1.24,18.75
5.35,45.58
3.0,26.9
3.8,47.34
1.69,25.8
0.7,13.5
0.8,18.5
2.14,25.87
1.79,21.32
1.2,18.06
1.01,20.5
2.21,28.08
2.12,23.04
3.6,29.76
0.67,14.64
2.88,39.0
20.85,82.69
0.55,11.62
3.1,38.16
1.0,19.3
1.8,25.56
1.88,25.5
1.84,26.63
0.05,8.08
0.71,15.86
0.2,9.4
2.3,45.1
9.5,59.15
5.91,48.24
1.51,28.44
1.11,23.0
1.52,17.16
3.04,23.88
2.1,17.8
1.55,24.1
2.0,18.84
13.74,82.61
4.2,32.28
1.14,19.68
20.34,86.25
2.16,18.5
2.88,25.75
0.68,12.12
1.13,15.48
2.17,20.04
2.41,20.6
3.47,29.7
1.23,17.16
0.9,12.2
0.9,14.6
1.5,20.5
6.2,39.4
7.28,51.35
0.78,12.2
0.67,16.77
0.77,13.22
5.96,45.88
4.35,44.88
0.44,11.28
5.68,42.37
1.0,16.3
2.9,30.13
3.58,28.8
1.3,15.0
2.77,24.05
1.17,16.32
1.12,16.32
1.39,23.14
1.31,21.36
0.75,11.88
1.02,14.2
1.54,18.84
0.62,12.8
4.14,44.04
2.35,23.12
0.53,12.96
16.4,82.69
3.05,35.64
0.95,16.32
4.72,40.2
4.47,39.0
1.16,22.25
1.91,16.4
6.4,36.6
8.2,48.7
2.8,28.4
3.71,31.44
2.4,26.4
3.86,45.72
1.9,18.8
0.6,12.95
1.9,19.65
2.54,21.36
1.11,14.64
2.25,23.14
1.02,15.25
2.94,18.1
2.56,16.7
0.86,15.0
4.31,41.2
3.06,27.24
2.18,23.88
1.6,16.3
1.23,20.5
2.44,27.4
2.2,29.5
1.6,28.05
1.07,12.2
1.36,20.6
2.22,22.2
4.63,33.2
2.21,19.2
