pickup_year,pickup_week,pickup_yearweek,payment_type,total_rides,total_revenue,avg_fare
2002,1,2002-W01,1,5,266.67000579833984,53.33400115966797
2002,1,2002-W01,2,4,70.94999980926514,17.737499952316284
2002,1,2002-W01,3,2,0.0,0.0
2008,1,2008-W01,1,7,529.9300060272217,75.70428657531738
2008,1,2008-W01,2,3,187.40000438690186,62.466668128967285
2009,1,2009-W01,1,7,215.46000289916992,30.78000041416713
2009,1,2009-W01,2,11,528.0100021362305,48.00090928511186
2023,52,2023-W52,1,8,170.07000255584717,21.258750319480896
2023,52,2023-W52,2,2,54.54999828338623,27.274999141693115
2024,1,2024-W01,0,42226,988678.2896393947,23.413969820475412
2024,1,2024-W01,1,575268,17079801.76267124,29.690164866933742
2024,1,2024-W01,2,139919,3326175.599119067,23.772151023942904
2024,1,2024-W01,3,6264,51428.670100450516,8.210196376189419
2024,1,2024-W01,4,16739,29157.920094132423,1.7419152932751314
2024,2,2024-W02,0,30251,776214.0894790888,25.659121664708234
2024,2,2024-W02,1,533018,14937107.241527915,28.023645058005386
2024,2,2024-W02,2,98814,2242717.925578594,22.696358062406077
2024,2,2024-W02,3,4363,35103.960023999214,8.045830855832962
2024,2,2024-W02,4,10393,17586.510008335114,1.69214952451988
2024,3,2024-W03,0,40015,1018225.6293442249,25.446098446688115
2024,3,2024-W03,1,531770,14881544.803163776,27.984927324151
2024,3,2024-W03,2,93727,2119461.1147167683,22.61313297893636
2024,3,2024-W03,3,4371,48615.97008180618,11.12239077597945
2024,3,2024-W03,4,10151,17418.5000538826,1.7159393216316223
2024,4,2024-W04,0,32502,816407.1093581002,25.118672984988624
2024,4,2024-W04,1,564291,15696862.269454727,27.816963711019184
2024,4,2024-W04,2,97839,2183807.6145465374,22.320420430978828
2024,4,2024-W04,3,4534,33683.02002310753,7.428985448413659
2024,4,2024-W04,4,10969,19745.88003575802,1.8001531621622773
2024,5,2024-W05,0,27365,694955.5594456196,25.395781452425346
2024,5,2024-W05,1,563221,15565786.86955143,27.63708538842023
2024,5,2024-W05,2,96131,2130313.9343471527,22.160530259199973
2024,5,2024-W05,3,4473,36557.99005198479,8.173036005362125
2024,5,2024-W05,4,10882,20091.33003306389,1.8462902070450182
2024,6,2024-W06,0,32918,839419.699710317,25.500325041324412
2024,6,2024-W06,1,578634,16277279.76769948,28.13052770438564
2024,6,2024-W06,2,98922,2237027.625859499,22.614055779902337
2024,6,2024-W06,3,4635,39164.51003789902,8.449732478511114
2024,6,2024-W06,4,11221,19381.560017824173,1.7272578217470969
2024,7,2024-W07,0,54609,1287100.8993597403,23.569391480520434
2024,7,2024-W07,1,541268,15004412.731418848,27.720856824011115
2024,7,2024-W07,2,99333,2252056.0054881573,22.671780833037936
2024,7,2024-W07,3,4496,34524.73000741005,7.6789879909719865
2024,7,2024-W07,4,11618,20214.38006258011,1.7399190964520665
2024,8,2024-W08,0,40217,969712.5495263115,24.112006105037956
2024,8,2024-W08,1,550796,15710301.50073862,28.522904125553964
2024,8,2024-W08,2,101280,2287714.9051190615,22.58802236491964
2024,8,2024-W08,3,4547,39333.76005721092,8.650486047330311
2024,8,2024-W08,4,11571,21888.350056648254,1.8916558686931342
2024,9,2024-W09,0,74419,1766905.5693727005,23.742667455524806
2024,9,2024-W09,1,589784,16937947.68905866,28.718899951607135
2024,9,2024-W09,2,102984,2358361.1151658297,22.900267179035865
2024,9,2024-W09,3,4890,39197.6800031662,8.015885481220081
2024,9,2024-W09,4,12333,23326.00003874302,1.891348417963433
2024,10,2024-W10,0,96320,2344068.749422185,24.33626193336986
2024,10,2024-W10,1,607214,17309684.5975521,28.506728431083765
2024,10,2024-W10,2,105169,2378171.0550222397,22.612852219021192
2024,10,2024-W10,3,5183,41403.890057086945,7.98840248062646
2024,10,2024-W10,4,12387,23428.60005927086,1.8913861354057366
