pickup_hour,dropoff_hour,total_rides,total_revenue,avg_fare
0,0,953329,23819592.06066437,24.98569964898201
0,1,237913,9256226.196767276,38.90592862419152
0,2,289,42236.33029937744,146.1464716241434
0,3,31,5075.500079154968,163.72580900499898
0,4,15,3507.8899841308594,233.8593322753906
0,5,11,343.10000133514404,31.19090921228582
0,6,20,974.9999837875366,48.74999918937683
0,7,17,541.2200050354004,31.836470884435318
0,8,14,454.979998588562,32.498571327754426
0,9,15,357.0500020980835,23.803333473205566
0,10,15,470.8200035095215,31.3880002339681
0,11,24,854.1099920272827,35.587916334470115
0,12,13,573.580002784729,44.12153867574838
0,13,22,689.2499990463257,31.329545411196623
0,14,20,1420.0100164413452,71.00050082206727
0,15,21,1286.8900089263916,61.280476615542455
0,16,21,681.590012550354,32.456667264302574
0,17,14,595.4099988937378,42.52928563526699
0,18,10,433.2600049972534,43.32600049972534
0,19,6,213.23999977111816,35.53999996185303
0,20,6,251.49999809265137,41.91666634877523
0,21,8,462.57000160217285,57.821250200271606
0,22,33,1292.4200057983398,39.164242599949695
0,23,190,5629.370017051697,29.628263247640508
1,0,202,5809.679988861084,28.760792024064774
1,1,634633,14837360.041533059,23.379433533290985
1,2,138811,4665752.542654796,33.61226806704653
1,3,1225,54983.179993867874,44.884228566422756
1,4,21,1510.8900270462036,71.94714414505731
1,5,19,3442.4000368118286,181.1789493058857
1,6,24,1138.8400015830994,47.45166673262914
1,7,17,624.1399984359741,36.7141175550573
1,8,3,86.60000228881836,28.86666742960612
1,9,5,211.25000381469727,42.25000076293945
1,10,3,48.60000038146973,16.200000127156574
1,11,7,422.9800000190735,60.42571428843907
1,12,6,119.19999980926514,19.86666663487752
1,13,7,422.85000801086426,60.407144001552034
1,14,11,286.790002822876,26.07181843844327
1,15,8,410.3900001049042,51.29875001311302
1,16,6,197.51000094413757,32.9183334906896
1,17,8,215.96000289916992,26.99500036239624
1,18,4,131.3399953842163,32.83499884605408
1,19,3,54.09999942779541,18.03333314259847
1,20,2,70.79000186920166,35.39500093460083
1,22,4,67.3400011062622,16.83500027656555
1,23,17,826.9500045776367,48.644117916331574
2,0,55,2480.650016784668,45.10272757790305
2,1,101,2639.989999771118,26.138514849218993
2,2,422380,9345239.858837333,22.125194987540443
2,3,81450,2564564.9402606953,31.486371273918913
2,4,101,13180.980040311813,130.5047528743744
2,5,24,745.9300055503845,31.08041689793269
2,6,15,948.9000062942505,63.2600004196167
2,7,6,184.95000457763672,30.825000762939453
2,9,4,144.18999862670898,36.047499656677246
2,10,5,262.2400007247925,52.4480001449585
