ride_date,total_rides,total_revenue,avg_fare
2002-12-31,11,337.620005607605,30.692727782509543
2008-12-31,10,717.3300104141235,71.73300104141235
2009-01-01,18,743.4700050354004,41.303889168633354
2023-12-31,10,224.6200008392334,22.46200008392334
2024-01-01,81013,2442843.250077009,30.153719157135388
2024-01-02,75519,2282196.0202593803,30.22015678517168
2024-01-03,82427,2357588.4797639847,28.60213861676374
2024-01-04,102901,2800511.058661232,27.215586424439334
2024-01-05,103178,2728672.518680811,26.44626295024919
2024-01-06,97117,2436272.317786455,25.085951149504773
2024-01-07,67543,1898102.1587080956,28.102129883305384
2024-01-08,80034,2216447.229249239,27.693820491906425
2024-01-09,93962,2363882.4886419773,25.157856246588807
2024-01-10,95000,2550418.1287772655,26.84650661870806
2024-01-11,105010,2905318.1880483627,27.667062070739576
2024-01-12,103655,2862882.12781024,27.61933459852626
2024-01-13,104758,2649939.936825037,25.295824059499388
2024-01-14,94420,2459841.627265811,26.05212483865506
2024-01-15,77033,2165047.6380745173,28.10545659749091
2024-01-16,93057,2634860.068743238,28.314474663305695
2024-01-17,110365,2979925.498060584,27.000638771898554
2024-01-18,110358,2943299.5383530855,26.67046827917401
2024-01-19,95951,2479618.858763814,25.842553582180635
2024-01-20,108768,2617354.0470018387,24.063640473317875
2024-01-21,84502,2265160.3683633804,26.805997116794636
2024-01-22,85650,2359736.2388207912,27.55091930905769
2024-01-23,99891,2636942.0774927326,26.398194807267245
2024-01-24,105120,2791643.5575773716,26.556730951078496
2024-01-25,110318,3002982.0477263927,27.221142947899644
2024-01-26,105804,2812237.717646599,26.579691860861583
2024-01-27,110515,2712188.006351132,24.54135643443091
2024-01-28,92837,2434776.247803211,26.226356385958304
2024-01-29,84547,2338564.767936716,27.6599378799569
2024-01-30,101233,2640791.287719488,26.086269178227337
2024-01-31,102131,2686155.117693424,26.301075263078047
2024-02-01,109997,2976410.707704544,27.05901713414497
2024-02-02,105470,2762938.7376275063,26.196441998933405
2024-02-03,110603,2667324.466566801,24.116203598155575
2024-02-04,88091,2375520.598180771,26.966666267618383
2024-02-05,88421,2414957.038287878,27.3120303806548
2024-02-06,102152,2703775.957134247,26.4681646676937
2024-02-07,102971,2828436.677674055,27.468284057395337
2024-02-08,114063,3132263.577566862,27.460820577811052
2024-02-09,110502,2985393.348105468,27.016645382938478
2024-02-10,111655,2770666.456580162,24.814530980073997
2024-02-11,96566,2576780.107976347,26.684134249905217
2024-02-12,92090,2524848.938807735,27.41718904123939
2024-02-13,69067,1709898.4992949963,24.757098169820555
2024-02-14,121771,3181668.318054199,26.12829259884701
2024-02-15,122956,3253400.207226515,26.459873509438456
2024-02-16,105841,2899482.5580847263,27.39470109017041
2024-02-17,105811,2589790.626895914,24.475627551917228
2024-02-18,93788,2439219.59797265,26.00780054988538
2024-02-19,76073,2195158.688290119,28.855950051793926
2024-02-20,97086,2674752.00894475,27.550336906915
2024-02-21,103545,2753920.9275645018,26.596368029016386
2024-02-22,115608,3145599.728165962,27.209187324112186
2024-02-23,102442,2759636.278352022,26.938524026786105
2024-02-24,117831,2908565.1865273714,24.684210322643203
2024-02-25,95826,2591318.2476531267,27.041911878332883
2024-02-26,86321,2532478.1787644625,29.337915209097005
2024-02-27,118614,3118156.1878175735,26.288264351742406
2024-02-28,112463,3063004.547460079,27.23566459600117
2024-02-29,129909,3538430.747276902,27.237764491119954
2024-03-01,117640,3142125.6479566097,26.709670587866455
2024-03-02,122463,3037189.156704949,24.800871746608767
2024-03-03,97000,2694353.5876585245,27.776841109881698
2024-03-04,94198,2650582.488008756,28.138415762635685
2024-03-05,112562,3030700.1976082604,26.924718800378994
2024-03-06,132881,3548161.677881388,26.701798435302173
2024-03-07,122119,3344777.4765381813,27.389492843359193
2024-03-08,119534,3234351.017585654,27.058000381361403
2024-03-09,140493,3426589.946491191,24.389755692391727
2024-03-10,104486,2861594.08799945,27.387344601185326
2024-03-11,98319,2772216.718382377,28.19614437069516
2024-03-12,112219,3126575.6771228407,27.86137532078205
2024-03-13,119723,3313498.6575579643,27.676375112200365
2024-03-14,137060,3832164.9072151184,27.959761470998966
2024-03-15,128813,3508175.4779200554,27.234638413204067
2024-03-16,131432,3393355.906021256,25.81833880654069
2024-03-17,103415,2978177.0077003334,28.798307863465972
2024-03-18,94988,2763599.018870363,29.094191043819883
2024-03-19,111714,3055136.427665459,27.3478384774107
2024-03-20,118999,3251745.267599592,27.32582011277063
2024-03-21,130803,3573891.667672662,27.322704125078644
2024-03-22,116847,3197672.6784718037,27.366322442782472
2024-03-23,121966,3017852.5574404728,24.743392071892764
2024-03-24,101913,2883215.3676088043,28.290947843835472
2024-03-25,93442,2685296.4787247274,28.737574952641506
2024-03-26,112693,3071650.317947626,27.256797830811372
2024-03-27,121188,3329168.497702241,27.471106856307895
2024-03-28,132715,3719959.3182695005,28.029682539799573
2024-03-29,119850,3199906.088238267,26.699258141328887
