pickup_year,pickup_week,pickup_yearweek,passenger_count,total_rides,total_revenue,avg_fare
2002,1,2002-W01,1,11,337.620005607605,30.692727782509543
2008,1,2008-W01,1,10,717.3300104141235,71.73300104141235
2009,1,2009-W01,1,10,392.1699981689453,39.21699981689453
2009,1,2009-W01,2,6,251.4700050354004,41.91166750590006
2009,1,2009-W01,3,1,29.639999389648438,29.639999389648438
2009,1,2009-W01,5,1,70.19000244140625,70.19000244140625
2023,52,2023-W52,1,5,112.98000144958496,22.596000289916994
2023,52,2023-W52,2,4,69.29000091552734,17.322500228881836
2023,52,2023-W52,6,1,42.349998474121094,42.349998474121094
2024,1,2024-W01,0,49568,1175949.0598603897,23.723956178590818
2024,1,2024-W01,1,536426,14188290.581654796,26.449669817747083
2024,1,2024-W01,2,122705,3810522.6696636677,31.054339021748646
2024,1,2024-W01,3,33393,1077117.599834919,32.25579013071359
2024,1,2024-W01,4,25182,863543.7901139259,34.29210507957771
2024,1,2024-W01,5,8073,223677.58032798767,27.706872330978282
2024,1,2024-W01,6,5046,133846.07017683983,26.525182357677334
2024,1,2024-W01,7,5,487.1699981689453,97.43399963378906
2024,1,2024-W01,8,18,1807.7199935913086,100.42888853285048
2024,2,2024-W02,0,37571,956679.2494994402,25.463236259334067
2024,2,2024-W02,1,500322,13036333.45873952,26.055886926298502
2024,2,2024-W02,2,93612,2738580.838791847,29.254591706104424
2024,2,2024-W02,3,20885,593478.5196065903,28.416496030959554
2024,2,2024-W02,4,11639,343803.99986743927,29.538963817118248
2024,2,2024-W02,5,7788,206706.56009316444,26.541674382789477
2024,2,2024-W02,6,5006,131596.2200293541,26.287698767349998
2024,2,2024-W02,7,1,12.710000038146973,12.710000038146973
2024,2,2024-W02,8,15,1538.1699905395508,102.54466603597005
2024,3,2024-W03,0,47166,1211098.1194298267,25.67735486218519
2024,3,2024-W03,1,498817,13074502.339774141,26.211019952756505
2024,3,2024-W03,2,90903,2628576.0484490395,28.916273923292295
2024,3,2024-W03,3,19532,535532.9597620964,27.41823467960764
2024,3,2024-W03,4,10079,289134.3199145794,28.686806222301755
2024,3,2024-W03,5,8181,209479.7400548458,25.605639904027115
2024,3,2024-W03,6,5340,135596.94998836517,25.392687263738797
2024,3,2024-W03,7,2,27.219999313354492,13.609999656677246
2024,3,2024-W03,8,13,1299.869987487793,99.98999903752254
2024,3,2024-W03,9,1,18.450000762939453,18.450000762939453
2024,4,2024-W04,0,40287,1007425.0994975846,25.006207945431147
2024,4,2024-W04,1,533931,13932879.975927481,26.0949073493157
2024,4,2024-W04,2,93389,2661414.278452873,28.498155869030327
2024,4,2024-W04,3,19525,536148.4096183777,27.459585639865693
2024,4,2024-W04,4,10044,281393.47992658615,28.01607725274653
2024,4,2024-W04,5,7575,193227.3500442505,25.50856106194726
2024,4,2024-W04,6,5380,137787.2399544716,25.611011143953828
2024,4,2024-W04,7,1,11.0,11.0
2024,4,2024-W04,8,3,219.05999660491943,73.01999886830647
2024,5,2024-W05,0,35151,882259.5093505383,25.099129736011445
2024,5,2024-W05,1,532806,13808710.326275596,25.916957253250896
2024,5,2024-W05,2,92676,2633331.878234625,28.414388603679754
2024,5,2024-W05,3,19227,529201.999689579,27.523898667997035
2024,5,2024-W05,4,9906,282993.56991553307,28.567895206494352
2024,5,2024-W05,5,7160,182192.93995046616,25.44594133386399
2024,5,2024-W05,6,5140,128619.5400147438,25.023256812206967
2024,5,2024-W05,8,6,395.9199981689453,65.98666636149089
2024,6,2024-W06,0,41025,1037538.639766641,25.290399506804167
2024,6,2024-W06,1,544173,14309397.545206308,26.295677193110112
2024,6,2024-W06,2,97375,2834962.5485167503,29.113864426359438
2024,6,2024-W06,3,20337,571233.2597239017,28.08837388621241
2024,6,2024-W06,4,10655,323667.1300404072,30.37701830505933
2024,6,2024-W06,5,7682,200721.07009649277,26.128751639741314
2024,6,2024-W06,6,5079,134567.96997451782,26.494973414947395
2024,6,2024-W06,8,3,89.0,29.666666666666668
2024,6,2024-W06,9,1,96.0,96.0
2024,7,2024-W07,0,62693,1483349.7692542449,23.660532583450223
2024,7,2024-W07,1,504048,12964647.448539972,25.721057217844276
2024,7,2024-W07,2,98363,2840768.2086999416,28.88045513760196
2024,7,2024-W07,3,20971,602420.3499927521,28.7263530586406
2024,7,2024-W07,4,12236,374681.9197819233,30.621274908624002
2024,7,2024-W07,5,7918,198882.56012058258,25.117777231697723
2024,7,2024-W07,6,5089,133005.7299451828,26.13592649738314
2024,7,2024-W07,8,4,385.54000091552734,96.38500022888184
2024,7,2024-W07,9,2,167.22000122070312,83.61000061035156
2024,8,2024-W08,0,48557,1173557.1793695465,24.168650850949327
2024,8,2024-W08,1,511789,13481105.327412486,26.341139273045115
2024,8,2024-W08,2,98968,2932030.5688779354,29.6260464885411
2024,8,2024-W08,3,23373,692807.3597180843,29.641353686650593
2024,8,2024-W08,4,13225,421278.77994060516,31.854728161860503
2024,8,2024-W08,5,7558,198949.59012031555,26.32304711832701
2024,8,2024-W08,6,4938,129015.9600558281,26.127168905594996
2024,8,2024-W08,8,3,206.3000030517578,68.76666768391927
2024,9,2024-W09,0,83075,1980994.9093759526,23.845861081865213
2024,9,2024-W09,1,557982,14941312.445407271,26.77740938848793
2024,9,2024-W09,2,98819,2933729.998999357,29.687914257373148
2024,9,2024-W09,3,20416,588589.979944706,28.829838359360597
2024,9,2024-W09,4,10622,322267.9497696161,30.339667649182463
2024,9,2024-W09,5,8006,215522.13009357452,26.92007620454341
2024,9,2024-W09,6,5479,142473.6500439644,26.003586428903883
2024,9,2024-W09,7,2,4.699999928474426,2.349999964237213
2024,9,2024-W09,8,5,481.0299987792969,96.20599975585938
2024,9,2024-W09,9,4,361.26000595092773,90.31500148773193
2024,10,2024-W10,0,105519,2569506.2292781994,24.351123771815498
2024,10,2024-W10,1,571879,15221693.98579625,26.61698363779095
2024,10,2024-W10,2,101633,2988782.307803631,29.4075970187206
2024,10,2024-W10,3,21848,613789.5796842575,28.093627777565796
2024,10,2024-W10,4,12048,351213.1695654392,29.151159492483334
2024,10,2024-W10,5,8009,213517.0500445366,26.659639161510373
2024,10,2024-W10,6,5332,137781.63994026184,25.840517618203645
2024,10,2024-W10,7,1,85.80000305175781,85.80000305175781
2024,10,2024-W10,8,4,387.12999725341797,96.78249931335449
2024,11,2024-W11,0,101697,2458711.2892395537,24.1768320524652
2024,11,2024-W11,1,573968,15753481.965056805,27.446620656651252
2024,11,2024-W11,2,104207,3200495.12816,30.712861210475303
2024,11,2024-W11,3,24441,727735.9195306301,29.775210487730867
2024,11,2024-W11,4,13861,429176.9997084141,30.962917517380713
2024,11,2024-W11,5,7470,210438.3903172016,28.171136588648142
2024,11,2024-W11,6,5334,143932.10990428925,26.983897619851753
2024,11,2024-W11,7,1,71.5,71.5
2024,11,2024-W11,8,2,121.05000305175781,60.525001525878906
2024,12,2024-W12,0,103269,2341035.6296427306,22.669296978209633
2024,12,2024-W12,1,547239,14876053.526830673,27.18383288989029
2024,12,2024-W12,2,98782,3053620.028706312,30.91271718234407
2024,12,2024-W12,3,22833,711962.499774456,31.18129460756169
2024,12,2024-W12,4,13641,442362.5500764847,32.428894514807176
2024,12,2024-W12,5,6911,196608.48019266129,28.448629748612543
2024,12,2024-W12,6,4552,121159.01010370255,26.61665424070794
2024,12,2024-W12,7,2,198.86000061035156,99.43000030517578
2024,12,2024-W12,8,1,112.4000015258789,112.4000015258789
2024,13,2024-W13,0,117698,2670410.8792540394,22.688668280293967
2024,13,2024-W13,1,517178,13949755.058634996,26.972831517649624
2024,13,2024-W13,2,98369,3061505.118241787,31.12266179631578
2024,13,2024-W13,3,27306,884238.92933774,32.38258731918772
2024,13,2024-W13,4,19184,648321.1199398041,33.79488740303399
2024,13,2024-W13,5,6745,189989.4500722885,28.167449973652857
2024,13,2024-W13,6,4543,120494.840072155,26.5231873370361
2024,13,2024-W13,8,1,121.0199966430664,121.0199966430664
2024,14,2024-W14,0,148240,3472623.4591785483,23.425684425111633
2024,14,2024-W14,1,563030,15126551.295494804,26.86633269185444
2024,14,2024-W14,2,105019,3263472.788445711,31.07507011536685
2024,14,2024-W14,3,27066,866330.2698161602,32.00806435439888
2024,14,2024-W14,4,18122,629601.8599016666,34.742404806404735
2024,14,2024-W14,5,7594,213607.17017173767,28.128413243578834
2024,14,2024-W14,6,5345,140653.59989881516,26.31498594926383
2024,14,2024-W14,7,4,114.5,28.625
2024,14,2024-W14,8,3,210.18000030517578,70.06000010172527
2024,14,2024-W14,9,2,131.43000030517578,65.71500015258789
2024,15,2024-W15,0,133205,3119207.929418061,23.416597946158635
2024,15,2024-W15,1,560745,15203912.414917946,27.113772597023505
2024,15,2024-W15,2,103557,3183432.3683371544,30.740870905271052
2024,15,2024-W15,3,23494,713523.8393938541,30.3704707326915
2024,15,2024-W15,4,14092,456031.57966542244,32.361026090364916
2024,15,2024-W15,5,7510,207943.85012292862,27.688928112240827
2024,15,2024-W15,6,4876,130730.79998874664,26.81107464904566
2024,15,2024-W15,7,1,12.600000381469727,12.600000381469727
2024,15,2024-W15,8,2,190.37999725341797,95.18999862670898
2024,16,2024-W16,0,94638,2303034.149419699,24.335194630272184
2024,16,2024-W16,1,580328,15905016.094810486,27.406942444290962
2024,16,2024-W16,2,106289,3303362.1078910828,31.079059054945315
2024,16,2024-W16,3,23606,707981.8196337223,29.991604661260794
2024,16,2024-W16,4,13832,441225.1699337959,31.89887000678108
2024,16,2024-W16,5,7632,212911.6100821495,27.897223543258583
2024,16,2024-W16,6,4785,127845.73997545242,26.718022983375636
2024,16,2024-W16,7,1,30.299999237060547,30.299999237060547
2024,16,2024-W16,8,6,527.0400056838989,87.84000094731648
2024,16,2024-W16,9,1,131.0,131.0
2024,17,2024-W17,0,58160,1415505.4394754823,24.338126538436768
2024,17,2024-W17,1,538207,14695686.074043393,27.304895837555797
2024,17,2024-W17,2,105220,3302317.938120961,31.384888216317822
2024,17,2024-W17,3,24389,767423.7895421982,31.465980136217073
2024,17,2024-W17,4,14860,504511.5296565294,33.9509777696184
2024,17,2024-W17,5,6914,194830.96005678177,28.179195842751195
2024,17,2024-W17,6,4569,120880.21005296707,26.45660101837756
2024,17,2024-W17,8,1,115.0,115.0
2024,17,2024-W17,9,1,113.75,113.75
2024,18,2024-W18,0,87400,2234814.8390295394,25.569963833289926
2024,18,2024-W18,1,593622,16196852.733515391,27.284791893688897
2024,18,2024-W18,2,113020,3503112.1073043346,30.99550616974283
2024,18,2024-W18,3,24770,762744.0396671295,30.79305771768791
2024,18,2024-W18,4,14674,487377.8496911526,33.2137010829462
2024,18,2024-W18,5,7473,211508.6402220726,28.303042984353354
2024,18,2024-W18,6,4953,130893.47998332977,26.42711083854831
2024,18,2024-W18,8,1,108.52999877929688,108.52999877929688
2024,18,2024-W18,9,1,109.0,109.0
2024,19,2024-W19,0,101744,2585245.548648976,25.409316998043874
2024,19,2024-W19,1,603022,16795688.682086825,27.852530557901414
2024,19,2024-W19,2,113991,3615898.688082576,31.72091382725457
2024,19,2024-W19,3,24824,749102.1698732376,30.1765295630534
2024,19,2024-W19,4,13513,432850.4698396921,32.03215198991283
2024,19,2024-W19,5,6943,197443.43021011353,28.43776900620964
2024,19,2024-W19,6,4551,123682.87008714676,27.177075387199903
2024,19,2024-W19,8,4,405.4700012207031,101.36750030517578
2024,19,2024-W19,9,1,118.62000274658203,118.62000274658203
2024,20,2024-W20,0,132844,3494880.1394342333,26.30815196346266
2024,20,2024-W20,1,613411,17754803.30388184,28.94438362514177
2024,20,2024-W20,2,114240,3648727.207384348,31.939138720101084
2024,20,2024-W20,3,25359,785545.9494621754,30.97700814157401
2024,20,2024-W20,4,13929,441343.9897364378,31.685260229480782
2024,20,2024-W20,5,7165,202296.08023786545,28.23392606250739
2024,20,2024-W20,6,4479,128461.30001544952,28.680799289004135
2024,20,2024-W20,7,3,220.90000343322754,73.63333447774251
2024,20,2024-W20,8,7,832.7900085449219,118.97000122070312
2024,20,2024-W20,9,1,105.44000244140625,105.44000244140625
2024,21,2024-W21,0,85152,2151878.789273085,25.271030501609886
2024,21,2024-W21,1,532373,14755872.09616065,27.71716840666347
2024,21,2024-W21,2,101906,3222316.568082452,31.620479344518007
2024,21,2024-W21,3,23152,711794.5297112465,30.74440781406559
2024,21,2024-W21,4,14526,469415.16975545883,32.31551492189583
2024,21,2024-W21,5,6076,167685.24015283585,27.597965792105967
2024,21,2024-W21,6,4169,113217.09995603561,27.15689612761708
2024,21,2024-W21,7,1,110.86000061035156,110.86000061035156
2024,21,2024-W21,8,3,294.20999908447266,98.06999969482422
2024,22,2024-W22,0,87206,2267265.459033143,25.998961757598593
2024,22,2024-W22,1,532741,14840035.925661325,27.85600493609714
2024,22,2024-W22,2,106879,3395968.8581516743,31.773958010008272
2024,22,2024-W22,3,24727,770437.4193208218,31.15773928583418
2024,22,2024-W22,4,15133,494416.12958955765,32.6713889902569
2024,22,2024-W22,5,6217,176532.5101838112,28.395127904746854
2024,22,2024-W22,6,4337,120335.38011217117,27.7462255273625
2024,22,2024-W22,8,4,431.2000045776367,107.80000114440918
2024,23,2024-W23,0,125791,3191098.6294463873,25.368258694551972
2024,23,2024-W23,1,596764,16700897.39144864,27.985765547936268
2024,23,2024-W23,2,108536,3410768.1177392006,31.425224052288648
2024,23,2024-W23,3,24533,748568.879427433,30.512733030099582
2024,23,2024-W23,4,14722,489040.50975084305,33.21834735435695
2024,23,2024-W23,5,6703,191756.1602885723,28.6075130969077
2024,23,2024-W23,6,4882,135808.99009728432,27.81831013873091
2024,23,2024-W23,7,2,180.5999984741211,90.29999923706055
2024,23,2024-W23,8,5,513.9300003051758,102.78600006103515
2024,24,2024-W24,0,90261,2251797.879444059,24.947628316150485
2024,24,2024-W24,1,573493,15591761.512568831,27.18736150671208
2024,24,2024-W24,2,104283,3178303.5279142857,30.47767639897477
2024,24,2024-W24,3,25577,762516.1096024513,29.812570262440918
2024,24,2024-W24,4,15071,482634.6598353386,32.024063422157695
2024,24,2024-W24,5,6339,178112.98010969162,28.097961840935735
2024,24,2024-W24,6,4550,121417.45006990433,26.685153861517435
2024,24,2024-W24,8,4,445.75,111.4375
2024,25,2024-W25,0,81301,1949967.749132568,23.98454814986984
