source_year,trip_distance,total_amount
2017,0.4,4.8
2017,0.9,7.55
2017,0.52,5.3
2017,1.5,7.3
2017,1.3,10.8
2017,1.5,11.3
2017,1.6,9.3
2017,0.7,6.3
2017,0.9,8.8
2017,6.34,31.56
2017,2.0,13.55
2017,1.8,10.8
2017,2.22,12.96
2017,3.02,13.3
2017,1.29,8.58
2017,2.4,13.56
2017,2.26,13.56
2017,2.4,13.55
2017,3.5,14.9
2017,9.0,30.3
2017,17.63,70.27
2017,2.4,12.3
2017,1.25,8.3
2017,0.4,6.42
2017,1.1,7.8
2017,21.53,87.96
2017,2.3,13.55
2017,16.25,68.56
2017,10.11,41.76
2017,1.4,8.3
2017,2.7,12.8
2017,3.2,15.3
2017,2.9,14.3
2017,6.9,29.3
2017,8.5,33.3
2017,1.7,10.3
2017,0.5,6.85
2017,1.9,12.85
2017,0.23,5.3
2017,2.65,12.3
2017,1.74,13.5
2017,12.65,49.73
2017,2.6,12.3
2017,5.6,27.25
2017,3.4,20.0
2017,3.06,15.3
2017,18.69,52.8
2017,0.7,7.55
2017,0.9,7.8
2017,1.6,9.13
2017,20.57,68.16
2017,2.5,12.35
2017,1.0,8.15
2017,1.5,9.95
2017,6.84,35.76
2017,2.6,16.6
2017,1.6,9.95
2017,0.66,8.76
2017,1.72,11.76
2017,0.97,10.56
2017,0.9,6.8
2017,6.8,33.95
2017,5.0,72.95
2017,3.7,16.55
2017,6.0,22.3
2017,4.3,17.8
2017,2.3,12.95
2017,18.4,63.35
2017,1.4,9.8
2017,0.9,6.3
2017,2.59,14.12
2017,1.1,8.75
2017,0.6,6.3
2017,3.8,16.8
2017,1.8,11.6
2017,2.0,12.35
2017,2.0,12.25
2017,0.6,6.95
2017,2.1,10.8
2017,23.02,81.67
2017,2.2,15.3
2017,0.8,6.95
2017,0.9,7.25
2017,4.8,22.55
2017,1.3,10.3
2017,6.3,24.35
2017,19.8,64.3
2017,6.6,22.3
2017,2.4,12.35
2017,2.54,11.8
2017,1.4,12.3
2017,17.98,70.27
2017,2.57,14.16
2017,0.58,7.25
2017,1.73,11.0
2017,1.85,9.3
2017,18.5,66.65
2017,2.65,12.96
2017,0.63,8.76
2017,1.2,10.35
2017,0.3,4.8
2017,2.6,16.55
2017,1.6,11.6
2017,3.65,17.16
2017,2.59,12.3
2017,3.6,14.8
2017,3.1,17.75
2017,1.6,8.8
2017,3.2,16.6
2017,1.0,6.8
2017,4.2,17.8
2017,4.28,20.16
2017,0.52,5.3
2017,0.01,4.3
2017,2.52,11.8
2017,0.24,4.8
2017,2.25,13.56
2017,2.07,12.36
2017,18.2,63.56
2017,17.8,70.26
2017,1.9,8.3
2017,2.0,9.3
2017,4.3,18.5
2017,5.3,25.55
2017,1.6,10.75
2017,1.3,8.8
2017,2.2,14.65
2017,1.1,9.95
2017,4.9,21.8
2017,0.5,5.3
2017,1.0,7.8
2017,2.3,14.8
2017,0.5,5.8
2017,5.6,25.55
2017,1.5,10.55
2017,2.5,10.8
2017,4.7,16.8
2017,1.74,10.8
2017,1.95,13.0
2017,5.78,24.36
2017,3.6,18.3
2017,1.8,10.55
2017,11.3,37.8
2017,4.0,25.86
2017,3.9,17.3
2017,7.91,34.06
2017,4.64,16.8
2017,1.2,8.75
2017,0.9,7.55
2017,2.5,15.35
2017,22.97,58.56
2017,0.98,7.3
2017,1.35,10.8
2017,14.5,50.75
2017,0.62,6.8
2017,2.28,12.96
2017,3.71,18.5
2017,0.6,5.3
2017,4.6,18.3
2017,2.2,12.8
2017,1.56,9.96
2017,1.63,8.8
2017,4.1,20.8
2017,1.19,8.76
2017,4.48,20.8
2017,1.2,8.3
2017,1.4,9.96
2017,1.7,9.3
2017,1.8,9.3
2017,1.97,12.36
2017,1.57,9.96
2017,8.6,36.35
2017,2.1,11.8
2017,2.0,11.8
2017,3.45,16.8
2017,2.4,12.8
2017,2.6,14.75
2017,2.4,12.35
2017,2.7,11.8
2017,0.8,7.3
2017,1.6,11.15
2017,1.6,11.15
2017,9.6,35.3
2017,2.77,10.8
2017,2.1,14.69
2017,1.69,10.8
2017,1.61,8.3
2017,2.05,11.76
2017,1.7,8.3
2017,1.01,9.49
2017,1.42,9.96
2017,9.42,37.06
2017,2.7,14.75
2017,9.58,33.8
2017,2.1,10.8
2017,1.9,10.3
2017,1.4,8.75
2017,1.2,8.3
2017,9.85,29.3
2017,2.9,16.6
2017,0.5,4.8
2017,0.8,6.8
2017,0.5,6.8
2017,2.5,15.95
2017,1.1,7.3
2017,0.5,5.8
2017,1.5,10.1
2017,1.1,8.15
2017,0.2,4.3
2017,1.8,9.95
2017,1.0,6.8
2017,3.63,15.8
2017,18.7,66.56
2017,0.99,7.56
2017,4.0,18.3
2017,19.74,61.8
2017,2.61,14.16
2017,0.87,8.16
2017,4.25,18.3
2017,3.9,14.3
2017,5.49,20.3
2017,0.45,5.8
2017,1.6,7.8
2017,2.2,11.15
2017,7.2,30.35
2017,2.44,15.34
2017,1.79,13.56
2017,6.85,22.8
2017,2.3,10.8
2017,1.2,10.55
2017,1.0,7.3
2017,7.06,22.3
2017,1.92,11.16
2017,3.45,15.3
2017,2.63,15.38
2017,0.5,7.85
2017,2.5,14.75
2017,2.3,11.3
2017,1.5,9.3
2017,0.7,6.3
2017,0.6,6.95
2017,2.1,12.95
2017,13.04,37.3
2017,31.33,87.8
2017,17.65,70.27
2017,1.9,9.8
2017,0.9,8.15
2017,1.7,11.3
2017,1.3,8.6
2017,2.5,11.8
2017,13.3,48.06
2017,2.3,11.8
2017,2.33,14.3
2017,1.74,11.62
2017,3.0,16.0
2017,1.1,9.95
2017,1.8,11.4
2017,17.6,62.26
2017,1.2,8.5
2017,2.5,13.3
2017,8.7,34.3
2017,7.8,32.3
2017,2.5,11.8
2017,17.22,63.36
2017,12.43,47.0
2017,1.95,12.96
2017,8.42,32.76
2017,24.91,68.3
2017,21.99,70.27
2017,12.09,42.96
2017,0.9,8.15
2017,3.3,17.15
2017,2.4,15.95
2017,5.9,24.95
2017,0.9,6.3
2017,4.2,22.56
2017,3.65,14.3
2017,1.78,11.16
2017,4.46,21.8
2017,1.31,11.16
2017,1.1,7.8
2017,9.3,34.8
2017,1.8,12.3
2017,2.4,14.15
2017,1.9,9.8
2017,7.4,32.2
2017,4.6,18.95
2017,2.6,13.8
2017,5.5,21.78
2017,2.5,13.3
2017,3.0,12.3
2017,16.1,63.35
2017,1.5,8.8
2017,4.8,22.45
2017,9.7,34.3
2017,4.2,20.0
2017,7.3,24.3
2017,4.2,21.0
2017,4.2,18.8
2017,7.4,25.8
2017,8.0,31.55
2017,0.4,5.8
2017,0.8,8.8
2017,1.2,9.35
2017,17.4,70.26
2017,3.0,17.3
2017,1.86,12.25
2017,1.57,10.3
2017,2.2,12.35
2017,0.5,8.15
2017,1.5,8.8
2017,5.4,24.75
2017,19.87,60.8
2017,1.1,8.5
2017,2.0,12.95
2017,17.5,58.56
2017,17.2,60.8
2017,1.4,10.56
2017,17.1,56.8
2017,0.75,5.8
2017,11.3,37.8
2017,18.6,63.35
2017,0.87,7.3
2017,0.96,6.8
2017,3.4,17.88
2017,4.01,22.25
2017,2.5,12.3
2017,1.6,12.7
2017,1.1,7.3
2017,5.1,26.0
2017,4.98,21.96
2017,1.39,9.8
2017,17.0,70.26
2017,11.5,38.3
2017,10.18,45.67
2017,1.29,7.3
2017,4.1,21.95
2017,3.6,18.95
2017,3.7,18.95
2017,3.2,14.15
2017,8.4,32.15
2017,2.32,12.74
2017,1.0,8.84
2017,1.71,8.8
2017,1.8,10.3
