source_year,passenger_count,distance_bucket,total_rides,avg_fare
2017,0,<1 mile,3755,7.73964857096361
2017,0,1-2 miles,4958,11.15948777854707
2017,0,10-20 miles,621,54.20148166644592
2017,0,2-5 miles,3781,17.41477904239996
2017,0,20+ miles,48,79.04354234039783
2017,0,5-10 miles,1079,31.749721754470063
2017,1,<1 mile,1551810,7.654013907973192
2017,1,1-2 miles,2134277,11.073551361226931
2017,1,10-20 miles,335861,55.631996400326685
2017,1,2-5 miles,1720610,17.265846709601455
2017,1,20+ miles,42932,77.70082751750324
2017,1,5-10 miles,527252,31.165105716588087
2017,2,<1 mile,298320,7.724263369655259
2017,2,1-2 miles,439499,11.051343274954537
2017,2,10-20 miles,83432,56.33704852405748
2017,2,2-5 miles,373107,17.294426244600196
2017,2,20+ miles,11481,75.76610402007124
2017,2,5-10 miles,115267,31.286591478418202
2017,3,<1 mile,86334,7.698042235005613
2017,3,1-2 miles,127388,11.023250550691866
2017,3,10-20 miles,21589,55.679152788081794
2017,3,2-5 miles,107880,17.228542139717373
2017,3,20+ miles,2823,75.37697119426525
2017,3,5-10 miles,32032,30.83444588051757
2017,4,<1 mile,37654,7.656111802858903
2017,4,1-2 miles,58447,10.944667569873172
2017,4,10-20 miles,10307,55.429967105672006
2017,4,2-5 miles,49918,17.085943811627754
2017,4,20+ miles,1445,76.37291353165485
2017,4,5-10 miles,14915,30.729042275400317
2017,5,<1 mile,99882,7.609201349429471
2017,5,1-2 miles,139646,11.049255126310332
2017,5,10-20 miles,24391,55.70881242126924
2017,5,2-5 miles,114802,17.19350347455413
2017,5,20+ miles,3136,74.59454658591397
2017,5,5-10 miles,36327,31.146303836631287
2017,6,<1 mile,65216,7.541607521321731
2017,6,1-2 miles,89949,11.037589937259979
2017,6,10-20 miles,15801,55.78940356148171
2017,6,2-5 miles,72095,17.181874484826213
2017,6,20+ miles,1962,71.7294846319885
2017,6,5-10 miles,22360,31.198474212825193
2017,7,<1 mile,3,45.53666750590006
2017,7,1-2 miles,1,8.75
2017,7,10-20 miles,7,96.95428575788226
2017,7,2-5 miles,2,48.55000162124634
2017,7,20+ miles,1,110.80000305175781
2017,7,5-10 miles,1,85.30000305175781
2017,8,<1 mile,2,56.9200005531311
2017,8,10-20 miles,9,95.66889021131728
2017,9,<1 mile,2,62.92000198364258
2017,9,1-2 miles,1,3.799999952316284
2017,9,10-20 miles,8,93.42750263214111
2017,9,20+ miles,4,91.0525016784668
2017,9,5-10 miles,1,19.799999237060547
2018,0,<1 mile,18704,8.132596326827798
2018,0,1-2 miles,24333,11.438570742463476
2018,0,10-20 miles,6933,56.87761165409502
2018,0,2-5 miles,19678,18.340835834887713
2018,0,20+ miles,783,82.90731844713252
2018,0,5-10 miles,8556,34.80269155968651
2018,1,<1 mile,1424916,7.765770208727441
2018,1,1-2 miles,1905452,11.250704668369826
2018,1,10-20 miles,308905,55.751327458440755
2018,1,2-5 miles,1521045,17.49566790169819
2018,1,20+ miles,38450,78.95659020732997
2018,1,5-10 miles,475103,31.222838307974353
2018,2,<1 mile,275803,7.838544484562371
2018,2,1-2 miles,395122,11.216002527878684
2018,2,10-20 miles,74980,56.77957653173385
2018,2,2-5 miles,328426,17.51371742066493
2018,2,20+ miles,9656,78.77642289837999
2018,2,5-10 miles,102540,31.41798990544332
2018,3,<1 mile,78044,7.7668913314203465
2018,3,1-2 miles,112627,11.158851153265639
2018,3,10-20 miles,19566,56.1833495882456
2018,3,2-5 miles,93224,17.378147985970656
2018,3,20+ miles,2468,78.18572923586956
2018,3,5-10 miles,28254,30.98567113729641
2018,4,<1 mile,34672,7.677571334919527
2018,4,1-2 miles,51238,11.106958982006319
2018,4,10-20 miles,8754,56.07369433706663
2018,4,2-5 miles,43908,17.323567315477256
2018,4,20+ miles,1156,79.13787203166105
2018,4,5-10 miles,13316,30.861830600552747
2018,5,<1 mile,85880,7.674095103552051
2018,5,1-2 miles,116497,11.205903573010694
2018,5,10-20 miles,20924,55.66778693972161
2018,5,2-5 miles,95599,17.40188179701424
2018,5,20+ miles,2455,75.00861455602704
2018,5,5-10 miles,30418,31.227200074139112
2018,6,<1 mile,53083,7.602193445595509
2018,6,1-2 miles,70746,11.16761958672895
2018,6,10-20 miles,12560,55.79520830208329
2018,6,2-5 miles,56707,17.413430666468187
2018,6,20+ miles,1530,73.77641125223995
2018,6,5-10 miles,17859,31.247797471080275
