source_year,pickup_week,pickup_yearweek,payment_type,total_rides,total_revenue,avg_fare
2017,35,2017-W35,1,422874,7401231.476115108,17.502214551178618
2017,35,2017-W35,2,279704,3757278.69973433,13.433053155243865
2017,35,2017-W35,3,4311,57178.5299513042,13.263402911460032
2017,35,2017-W35,4,1406,19940.619952499866,14.182517747154956
2017,36,2017-W36,1,1390697,24978926.576516807,17.961444208563623
2017,36,2017-W36,2,668389,9184622.868535608,13.741433309847421
2017,36,2017-W36,3,10711,146212.14968812466,13.650653504633055
2017,36,2017-W36,4,3237,41970.859929442406,12.965974646105161
2017,37,2017-W37,1,1523378,27675156.959495544,18.166966412469883
2017,37,2017-W37,2,693763,9546358.791916162,13.760259327632292
2017,37,2017-W37,3,11444,148401.08965787292,12.967589099779179
2017,37,2017-W37,4,3490,46749.4099098444,13.395246392505559
2017,38,2017-W38,1,1365978,25148634.56245745,18.410717129014852
2017,38,2017-W38,2,650142,9391181.686555423,14.444816188702504
2017,38,2017-W38,3,11032,146160.00969833136,13.248731843576083
2017,38,2017-W38,4,3299,45090.099891901016,13.667808394028802
2017,39,2017-W39,1,1308792,23620542.852703393,18.047591101338785
2017,39,2017-W39,2,579889,7864603.301210383,13.562256399432275
2017,39,2017-W39,3,9776,129646.22982484102,13.261684720216962
2017,39,2017-W39,4,2859,37385.58992689848,13.076456777509087
2018,35,2018-W35,0,418,20120.210069656372,48.134473850852565
2018,35,2018-W35,1,239482,4182107.7091614306,17.463140065480623
2018,35,2018-W35,2,157110,2120486.5001238585,13.496827064628976
2018,35,2018-W35,3,2114,30404.599961429834,14.382497616570404
2018,35,2018-W35,4,682,7984.359931707382,11.707272627136923
2018,36,2018-W36,0,1795,83780.43018817902,46.67433436667355
2018,36,2018-W36,1,1310792,23543956.80204314,17.96162686531741
2018,36,2018-W36,2,558473,7669167.580637634,13.73238738602875
2018,36,2018-W36,3,9324,141761.63042387366,15.203950066910517
2018,36,2018-W36,4,2985,35575.02986258268,11.917932952289005
2018,37,2018-W37,0,1841,87185.66024398804,47.35777308201414
2018,37,2018-W37,1,1386833,24984437.981562614,18.01546255501752
2018,37,2018-W37,2,558073,7630002.308304802,13.672050624747662
2018,37,2018-W37,3,9719,127980.55981329083,13.16807900126462
2018,37,2018-W37,4,2850,31455.3898858428,11.036978907313264
2018,38,2018-W38,0,1902,90117.46023225784,47.38036815576122
2018,38,2018-W38,1,1359971,24371351.642975807,17.920493630361094
2018,38,2018-W38,2,557464,7618357.188921511,13.666097163084094
2018,38,2018-W38,3,9640,122879.80986875296,12.746868243646572
