source_year,pickup_hour,dropoff_hour,total_rides,total_revenue,avg_fare
2017,0,0,243880,3632775.86563617,14.895751458242454
2017,0,1,55746,1328982.0511310697,23.83995355955709
2017,0,2,52,4321.2700407505035,83.10134693750969
2017,0,3,5,320.51000118255615,64.10200023651123
2017,0,4,2,138.610003054142,69.305001527071
2017,0,7,2,27.15999984741211,13.579999923706055
2017,0,8,1,21.1200008392334,21.1200008392334
2017,0,9,1,52.029998779296875,52.029998779296875
2017,0,10,1,17.15999984741211,17.15999984741211
2017,0,11,2,70.32000160217285,35.160000801086426
2017,0,12,1,11.300000190734863,11.300000190734863
2017,0,15,1,73.58000183105469,73.58000183105469
2017,0,16,1,81.63999938964844,81.63999938964844
2017,0,21,1,7.800000190734863,7.800000190734863
2017,0,22,7,189.05999851226807,27.008571216038295
2017,0,23,149,2898.999984741211,19.456375736518194
2017,1,0,156,2697.2799882888794,17.290256335185124
2017,1,1,179654,2578726.297218621,14.353848493318383
2017,1,2,38023,824928.2241781354,21.69550598790562
2017,1,3,31,3289.080013155937,106.09935526309475
2017,1,4,3,121.16000056266785,40.38666685422262
2017,1,5,1,8.800000190734863,8.800000190734863
2017,1,7,2,49.64999866485596,24.82499933242798
2017,1,21,1,32.79999923706055,32.79999923706055
2017,1,22,3,37.39999961853027,12.466666539510092
2017,1,23,13,235.68999862670898,18.12999989436223
2017,2,0,37,722.8700051307678,19.53702716569643
2017,2,1,104,1654.409993171692,15.907788395881653
2017,2,2,136179,1901516.3476014733,13.963359604648833
2017,2,3,26308,552354.8060126305,20.995697354897008
2017,2,4,29,2835.7499913573265,97.78448246059746
2017,2,5,3,119.30000305175781,39.76666768391927
2017,2,6,1,563.7999877929688,563.7999877929688
2017,2,22,1,0.3499999940395355,0.3499999940395355
2017,3,0,36,745.1599922180176,20.69888867272271
2017,3,1,6,78.71999979019165,13.119999965031942
2017,3,2,97,1488.6899900436401,15.34731948498598
2017,3,3,95720,1356987.4678033292,14.176634640653251
2017,3,4,19901,450881.9765729308,22.656247252546645
2017,3,5,20,1809.2299981713295,90.46149990856648
2017,3,6,1,83.30000305175781,83.30000305175781
2017,3,7,5,154.38000255823135,30.87600051164627
2017,3,10,1,96.0,96.0
2017,4,0,17,332.1199998855591,19.536470581503476
2017,4,2,6,117.25999736785889,19.543332894643147
2017,4,3,78,1564.2499911785126,20.054487066391186
2017,4,4,73687,1178692.6878094673,15.99593805975908
2017,4,5,13914,410212.9480137825,29.482028749014123
2017,4,6,15,995.7800081372261,66.38533387581508
2017,4,7,2,37.79999923706055,18.899999618530273
2017,4,14,1,328.79998779296875,328.79998779296875
2017,5,0,30,824.589991569519,27.486333052317303
2017,5,3,2,93.15999984741211,46.579999923706055
2017,5,4,30,974.5699911117554,32.48566637039185
2017,5,5,69484,1150576.3803223968,16.55886794546078
2017,5,6,20559,629235.9576771855,30.606350390446302
2017,5,7,27,2155.3399901390076,79.82740704218547
2017,5,8,3,242.8700013756752,80.95666712522507
2017,5,9,2,112.79999923706055,56.39999961853027
2017,6,0,50,1426.2099947929382,28.524199895858764
2017,6,4,2,23.600000381469727,11.800000190734863
2017,6,5,319,5981.329976081848,18.75025070872053
2017,6,6,155360,2076823.9059050083,13.367816078173329
2017,6,7,45640,1116414.9967959821,24.46132771244483
2017,6,8,374,25712.04998922348,68.74879676262962
2017,6,9,7,412.1200065612793,58.87428665161133
2017,6,10,3,182.42000579833984,60.80666859944662
2017,7,0,68,2487.8999738693237,36.5867643216077
2017,7,5,1,58.560001373291016,58.560001373291016
2017,7,6,215,4159.629981994629,19.347116195323856
2017,7,7,253913,3210635.5989713073,12.644628667974098
2017,7,8,80344,1859854.4148986936,23.148641029805507
2017,7,9,1067,73827.52981072664,69.19168679543266
2017,7,10,23,1510.0900039672852,65.65608712901239
2017,7,11,2,194.96999835968018,97.48499917984009
2017,7,12,2,128.82999801635742,64.41499900817871
2017,8,0,66,2136.5899987220764,32.37257573821328
2017,8,6,3,101.92000198364258,33.973333994547524
2017,8,7,178,4003.0199739933014,22.488876258389332
2017,8,8,296462,4220987.746819317,14.23787111609352
2017,8,9,97569,2332948.2426998615,23.910752828253457
2017,8,10,859,59110.049948990345,68.81263090685721
2017,8,11,18,1282.2300033569336,71.23500018649631
2017,8,12,5,800.0599746704102,160.01199493408203
2017,8,14,1,63.0,63.0
2017,9,0,62,2534.71999502182,40.882580564868064
2017,9,4,1,35.29999923706055,35.29999923706055
2017,9,6,1,58.560001373291016,58.560001373291016
2017,9,7,7,444.12000274658203,63.44571467808315
2017,9,8,138,3637.2199869155884,26.356666571852088
2017,9,9,302737,3968439.9673740827,13.108539647859637
2017,9,10,100683,2423561.9630327225,24.071213243871583
2017,9,11,832,57249.56982445717,68.8095791159341
