ride_date,source_year,total_rides,total_revenue,avg_fare
2017-09-01,2017,260043,4292780.143773168,16.507962697604505
2017-09-02,2017,243715,3684502.501986444,15.118078501472802
2017-09-03,2017,204537,3258346.6799936295,15.93035333457335
2017-09-04,2017,203364,3527410.131026089,17.34530266431664
2017-09-05,2017,276679,4591850.182041198,16.59630901528919
2017-09-06,2017,318657,5201497.979815632,16.323187564734596
2017-09-07,2017,327987,5500701.72737661,16.771096803765424
2017-09-08,2017,336097,5638252.735595584,16.775671117551134
2017-09-09,2017,320676,5068776.922439933,15.806536574111979
2017-09-10,2017,289574,4823242.776374936,16.656339230645486
2017-09-11,2017,292749,4803676.368926585,16.40885662778211
2017-09-12,2017,320614,5308445.767947763,16.557124043079103
2017-09-13,2017,325703,5515048.276047826,16.93275246481557
2017-09-14,2017,339032,5902150.594427794,17.40883041844957
2017-09-15,2017,334136,5768344.324796706,17.263462556553936
2017-09-16,2017,331845,5176914.494492114,15.600399266199924
2017-09-17,2017,287996,4942086.424340636,17.160260643691704
2017-09-18,2017,263990,4876539.562959671,18.47244048244127
2017-09-19,2017,279244,4889428.0337767005,17.509518678205083
2017-09-20,2017,287126,4910123.514469683,17.100936573036517
2017-09-21,2017,285782,5223038.076463759,18.276301784100326
2017-09-22,2017,307683,5059407.42834531,16.443571560161953
2017-09-23,2017,325031,5024172.286003113,15.457517239903618
2017-09-24,2017,281595,4748357.456584871,16.86236423439646
2017-09-25,2017,289124,4863539.980438838,16.82164047411781
2017-09-26,2017,299938,5167550.115209818,17.228727654414637
2017-09-27,2017,329555,5514218.698039234,16.732316906250045
2017-09-28,2017,330666,5730399.755586565,17.329872909783784
2017-09-29,2017,329112,5527544.096747279,16.795328328190035
2017-09-30,2017,322921,4848925.327643782,15.015825318402278
2018-09-01,2018,208328,3247596.310979724,15.588861367553685
2018-09-02,2018,191478,3113507.0682683587,16.260390584131642
2018-09-03,2018,189547,3229461.4497233033,17.03778719643837
2018-09-04,2018,267005,4462277.710136861,16.71233763463928
2018-09-05,2018,292590,4891649.885500282,16.71844521514844
2018-09-06,2018,302302,5160654.223312795,17.071187829762273
2018-09-07,2018,294396,5131155.143187255,17.429432272134317
2018-09-08,2018,280407,4467569.073048592,15.932444885643338
2018-09-09,2018,257122,4131473.9882463217,16.068146592848226
2018-09-10,2018,252838,4100440.5607947707,16.217659373965823
2018-09-11,2018,266087,4452450.217220545,16.73306180768149
2018-09-12,2018,291892,5093676.212667376,17.450550932082333
2018-09-13,2018,301388,5289362.153276056,17.55000913532077
2018-09-14,2018,302156,5148985.5151798725,17.04081836925255
2018-09-15,2018,287441,4494706.204418287,15.636969689147639
2018-09-16,2018,257514,4281441.036253631,16.626051539930376
2018-09-17,2018,267939,4463262.3786198795,16.657755603401817
2018-09-18,2018,269141,4412235.146204621,16.393768122302514
2018-09-19,2018,268931,4295922.160473973,15.974068294372804
2018-09-20,2018,299034,5208064.673690537,17.416296052256723
2018-09-21,2018,298240,5155575.153257906,17.28666561580575
2018-09-22,2018,285038,4528235.3941527605,15.886427052367615
2018-09-23,2018,243501,4170802.9455266893,17.12848384822522
2018-09-24,2018,235629,4250330.423543096,18.038231387236273
2018-09-25,2018,251897,4489204.062184453,17.821586053761866
2018-09-26,2018,265071,4796826.801279753,18.09638474702911
2018-09-27,2018,281504,5207871.342425674,18.500168176742335
2018-09-28,2018,294983,5121733.2451580465,17.362808179312186
2018-09-29,2018,290238,4583039.144048452,15.790624053530042
2018-09-30,2018,254989,4252678.07751295,16.677888369745165
2019-09-01,2019,148542,2916218.4203175306,19.63228191567052
2019-09-02,2019,135743,2754723.0931833386,20.293665921508577
2019-09-03,2019,198630,3991704.095691085,20.096179306706365
2019-09-04,2019,225077,4364814.525272667,19.39253911004975
2019-09-05,2019,240782,4723665.0330652,19.618015603596614
2019-09-06,2019,239038,4733810.400734425,19.803589390533826
2019-09-07,2019,214843,4015083.9348228574,18.68845591814887
2019-09-08,2019,193053,3852470.0743546486,19.95550483211682
2019-09-09,2019,213045,4234715.525052249,19.877094158756364
2019-09-10,2019,235608,4639776.352915347,19.692779332260987
