source_year,pickup_hour,total_rides,total_revenue,avg_fare
2017,0,299852,4969988.476797998,16.574805159872195
2017,1,217887,3410126.3813951015,15.6508941854957
2017,2,162662,2459767.6335946023,15.121956164283006
2017,3,115787,1812324.9243620932,15.652231462617506
2017,4,87720,1592281.645806849,18.1518655472737
2017,5,90137,1784215.6679728627,19.794486925156846
2017,6,201755,3226976.63267383,15.99453115250591
2017,7,335635,5152857.523638308,15.352563122553692
2017,8,395161,6621432.859420896,16.756291383564914
2017,9,404472,6458079.920190807,15.96669218188356
2017,10,405709,6531883.112401204,16.09992164926389
2017,11,424413,6905492.9713556655,16.27069145232513
2017,12,445478,7305143.541478528,16.39843839982789
2017,13,453127,7672036.350619532,16.931315835559417
2017,14,480927,8390666.130477522,17.446860189753377
2017,15,474291,8226178.699143559,17.344159385574592
2017,16,436540,8024582.9785526395,18.38223983724891
2017,17,496770,8813197.665651709,17.74100220555128
2017,18,554420,9201741.415952474,16.59705893718205
2017,19,563621,9124826.186746597,16.189649049177724
2017,20,523869,8558671.602164745,16.337427109000046
2017,21,502408,8366505.869674861,16.652811797731847
2017,22,474406,7979395.717931807,16.81976138145767
2017,23,398124,6798898.4556670785,17.077338858413658
2018,0,261144,4477931.597669899,17.147365429302987
2018,1,185899,2958389.712831259,15.91396248947686
2018,2,139489,2103291.1948771775,15.078545224907895
2018,3,99541,1543980.5561441332,15.511001056289702
2018,4,75417,1348908.636327058,17.886002311508786
2018,5,79509,1562230.6472691894,19.648475609920755
2018,6,183359,2958642.821166396,16.13579274083299
2018,7,299805,4760422.10059613,15.878394625160121
2018,8,347005,5630094.1861691475,16.224821504500362
2018,9,358158,5865927.765699327,16.378044789448587
2018,10,373783,6069448.358947933,16.237892999274802
2018,11,388904,6345295.778539062,16.31584087214084
2018,12,414552,6886773.257474005,16.61256792265869
2018,13,417917,7067955.514920801,16.912342677902075
2018,14,439231,7693654.51573652,17.516191971278257
2018,15,434104,7546498.7045508325,17.384080092675564
2018,16,410896,7551862.706216693,18.379012465968742
2018,17,465744,8249012.583456069,17.711473649593056
2018,18,511542,8570162.914022127,16.753586047718716
2018,19,499944,8198977.494100541,16.39979176487875
2018,20,460830,7636829.130754083,16.57190098464528
2018,21,443239,7458076.910092711,16.82631020756908
2018,22,415538,7107125.347314447,17.103430606381238
2018,23,343076,6040695.265417278,17.607455098629103
2019,0,198024,3965186.1651138663,20.02376562999367
2019,1,139165,2599918.205368519,18.682270724453122
2019,2,99234,1778202.0403215885,17.919282104133547
2019,3,67686,1250408.7826831043,18.473669336097633
2019,4,51385,1141823.6006997228,22.220951653200792
2019,5,59453,1444620.427884698,24.298528718226127
2019,6,135052,2720863.803991854,20.14678645256534
2019,7,243870,4568068.556926012,18.731572382523524
2019,8,292140,5503847.029242307,18.839758435141736
2019,9,297007,5652684.527891278,19.0321592686074
2019,10,304205,5954713.5975109935,19.57467364938444
2019,11,319215,6199474.24123019,19.42099914236546
2019,12,340593,6670359.348531187,19.584546213607403
2019,13,342496,6888422.834421992,20.112418347723747
2019,14,365232,7517156.477344364,20.58186707995018
2019,15,367149,7639963.067943186,20.80888976394648
2019,16,347554,7552539.5312165115,21.7305498748871
2019,17,393564,8234976.327883184,20.924109745513267
2019,18,432318,8512194.48121796,19.689660114124234
2019,19,419021,8116556.146065334,19.370284892798534
2019,20,382559,7526800.952968746,19.67487617065275
2019,21,366625,7239632.596439868,19.746696478526747
2019,22,336612,6720472.948572606,19.9650426858597
