source_year,pickup_week,pickup_yearweek,passenger_count,total_rides,total_revenue,avg_fare
2017,35,2017-W35,0,543,8873.140036940575,16.340957710756122
2017,35,2017-W35,1,484088,7550378.743133098,15.597120240809724
2017,35,2017-W35,2,114588,1912986.7022538185,16.694476753707356
2017,35,2017-W35,3,35447,584774.9705244303,16.49716394968348
2017,35,2017-W35,4,18201,303988.0603739023,16.701723002796676
2017,35,2017-W35,5,33341,525148.3296160698,15.750827198226501
2017,35,2017-W35,6,22077,348902.26980543137,15.803880500313964
2017,35,2017-W35,7,3,168.90000247955322,56.30000082651774
2017,35,2017-W35,8,2,178.06999969482422,89.03499984741211
2017,35,2017-W35,9,5,230.14000737667084,46.028001475334165
2017,36,2017-W36,0,2776,44394.580078184605,15.992283889835953
2017,36,2017-W36,1,1467698,24028890.980604857,16.37182239166699
2017,36,2017-W36,2,310275,5378936.219328344,17.336028424231227
2017,36,2017-W36,3,89656,1505012.2992711067,16.786520693217483
2017,36,2017-W36,4,40490,695422.6297588944,17.1751699125437
2017,36,2017-W36,5,98387,1648209.0472531319,16.752305154676247
2017,36,2017-W36,6,63729,1049195.898359418,16.463398113251706
2017,36,2017-W36,7,5,295.7899990081787,59.15799980163574
2017,36,2017-W36,8,10,671.3600155115128,67.13600155115128
2017,36,2017-W36,9,8,703.6500015258789,87.95625019073486
2017,37,2017-W37,0,3390,55542.88002485037,16.384330390811318
2017,37,2017-W37,1,1596461,26497088.80254042,16.59739185770302
2017,37,2017-W37,2,326839,5696675.426305175,17.429607318297922
2017,37,2017-W37,3,92521,1560800.9683091044,16.869694105220486
2017,37,2017-W37,4,40793,697179.9495620728,17.090676085653733
2017,37,2017-W37,5,105412,1782292.7865617275,16.90787373886965
2017,37,2017-W37,6,66633,1125661.02764678,16.893446605237344
2017,37,2017-W37,7,7,439.3900022506714,62.770000321524485
2017,37,2017-W37,8,10,394.1700106859207,39.41700106859207
2017,37,2017-W37,9,9,590.8500163555145,65.65000181727939
2017,38,2017-W38,0,3842,60331.94008243084,15.703263946494232
2017,38,2017-W38,1,1442254,24572870.109531656,17.03782420401098
2017,38,2017-W38,2,303661,5331190.936607659,17.556389976347504
2017,38,2017-W38,3,86589,1465281.6184374094,16.922260546228845
2017,38,2017-W38,4,39301,676018.4394831955,17.201049324017088
2017,38,2017-W38,5,94647,1612060.7964772582,17.032349641058442
2017,38,2017-W38,6,60135,1011980.8979483247,16.828484209666993
2017,38,2017-W38,7,8,581.0100145339966,72.62625181674957
2017,38,2017-W38,8,5,210.84000492095947,42.16800098419189
2017,38,2017-W38,9,9,539.7700157165527,59.97444619072808
2017,39,2017-W39,0,4107,65788.38013011217,16.01859754811594
2017,39,2017-W39,1,1370604,22591111.52054674,16.482595644363172
2017,39,2017-W39,2,273098,4741196.868273258,17.360789417254093
2017,39,2017-W39,3,75572,1278662.3687763214,16.919789985395667
2017,39,2017-W39,4,34746,584160.939925611,16.812321991757642
2017,39,2017-W39,5,87689,1467108.3275262117,16.730813756870436
2017,39,2017-W39,6,55485,923303.2184725702,16.64059148369055
2017,39,2017-W39,7,4,201.03000164031982,50.257500410079956
2017,39,2017-W39,8,7,500.3200092315674,71.47428703308105
2017,39,2017-W39,9,4,145.00000381469727,36.250000953674316
2018,35,2018-W35,0,3509,69510.26012599468,19.80913654203325
2018,35,2018-W35,1,266397,4171390.609161496,15.658549492529932
2018,35,2018-W35,2,68718,1130029.8605538607,16.444452116677738
2018,35,2018-W35,3,20694,342607.05990958214,16.55586449741868
2018,35,2018-W35,4,10685,178332.64996504784,16.689999996728858
2018,35,2018-W35,5,18196,287985.1796107888,15.826839943437504
2018,35,2018-W35,6,11599,180709.62991452217,15.579759454653175
2018,35,2018-W35,7,3,136.47999572753906,45.49333190917969
2018,35,2018-W35,8,1,90.80000305175781,90.80000305175781
2018,35,2018-W35,9,4,310.85000801086426,77.71250200271606
2018,36,2018-W36,0,17251,342614.57065838575,19.860562904085892
2018,36,2018-W36,1,1335573,22044245.290572226,16.50545892330275
2018,36,2018-W36,2,281760,4892573.947906584,17.36433116094046
2018,36,2018-W36,3,79297,1345398.4187982678,16.96657400403884
2018,36,2018-W36,4,35816,611832.2497448921,17.082651601097055
2018,36,2018-W36,5,83036,1390762.0971728563,16.748905260042108
2018,36,2018-W36,6,50620,845851.8982834816,16.709835999278578
2018,36,2018-W36,7,5,236.71000385284424,47.342000770568845
2018,36,2018-W36,8,5,379.4000062942505,75.8800012588501
2018,36,2018-W36,9,6,346.89000856876373,57.81500142812729
2018,37,2018-W37,0,19545,378273.2204994559,19.353963699127956
2018,37,2018-W37,1,1398359,23210675.698781118,16.598509895371016
2018,37,2018-W37,2,286014,4977143.51653707,17.401747874359543
2018,37,2018-W37,3,80638,1362920.4285152256,16.901714185808498
2018,37,2018-W37,4,36617,619706.869633019,16.92402079998413
2018,37,2018-W37,5,86655,1455132.1973579526,16.792247387432376
2018,37,2018-W37,6,51469,856081.4784689546,16.632953398530272
2018,37,2018-W37,7,7,275.55000481009483,39.36428640144212
2018,37,2018-W37,8,4,272.0800018310547,68.02000045776367
2018,37,2018-W37,9,8,580.860011100769,72.60750138759613
2018,38,2018-W38,0,19390,378970.6105122566,19.54464210996682
2018,38,2018-W38,1,1380435,22763690.590730704,16.49022995702855
2018,38,2018-W38,2,281490,4898318.606255174,17.40139474317089
2018,38,2018-W38,3,78755,1324764.228713572,16.82133488303691
2018,38,2018-W38,4,36312,610158.3095519543,16.80321407666761
2018,38,2018-W38,5,84335,1412060.8076527119,16.74347314463404
2018,38,2018-W38,6,51086,845342.298497498,16.547435667257137
2018,38,2018-W38,7,7,208.1399998664856,29.73428569521223
2018,38,2018-W38,8,8,141.18000316619873,17.64750039577484
2018,38,2018-W38,9,6,443.0800094604492,73.8466682434082
2018,39,2018-W39,0,20470,422369.2705203295,20.633574524686345
2018,39,2018-W39,1,1338748,23145276.6892578,17.288747911674044
2018,39,2018-W39,2,275238,4940357.354691982,17.94940144417552
2018,39,2018-W39,3,76288,1329921.2680003643,17.432902527269874
2018,39,2018-W39,4,34365,603353.9891082644,17.557223602743036
2018,39,2018-W39,5,80857,1418676.3064885736,17.54549768713375
2018,39,2018-W39,6,48326,840471.0080717206,17.391694079206236
2018,39,2018-W39,7,7,254.8200044631958,36.40285778045654
2018,39,2018-W39,8,8,645.4100074768066,80.67625093460083
2018,39,2018-W39,9,4,356.98000144958496,89.24500036239624
2019,35,2019-W35,0,3475,87662.95973956585,25.226751004191613
2019,35,2019-W35,1,94958,1830279.877737701,19.274625389516427
2019,35,2019-W35,2,27599,551716.8159396648,19.99046400013279
2019,35,2019-W35,3,7936,157049.6889078617,19.789527332139834
2019,35,2019-W35,4,4404,91641.57933551073,20.808714653839857
2019,35,2019-W35,5,6369,124898.4091463089,19.61036413036723
2019,35,2019-W35,6,3798,72766.8495092392,19.15925474176914
2019,35,2019-W35,7,1,85.30000305175781,85.30000305175781
2019,35,2019-W35,8,1,14.520000457763672,14.520000457763672
2019,35,2019-W35,9,1,102.41999816894531,102.41999816894531
2019,36,2019-W36,0,33741,810724.7172041535,24.0278805371552
2019,36,2019-W36,1,1007071,19465439.354890227,19.32876565295816
2019,36,2019-W36,2,224407,4562761.948402643,20.332529503993385
2019,36,2019-W36,3,60896,1210583.332134664,19.87952135008316
2019,36,2019-W36,4,28161,571605.8259578347,20.297781540351362
2019,36,2019-W36,5,57844,1132132.202769339,19.57216310713884
2019,36,2019-W36,6,35034,682033.1557599306,19.46775006450678
2019,36,2019-W36,7,5,285.0799997448921,57.015999948978425
2019,36,2019-W36,8,2,216.76000213623047,108.38000106811523
2019,36,2019-W36,9,5,488.78000354766846,97.7560007095337
2019,37,2019-W37,0,37788,900215.4264932275,23.822785712216245
2019,37,2019-W37,1,1151442,22415159.47667522,19.46703305652844
2019,37,2019-W37,2,244347,4967987.855136067,20.331691631720737
2019,37,2019-W37,3,66518,1315469.221153438,19.776139107511323
2019,37,2019-W37,4,29486,589672.4356630445,19.998386884048173
2019,37,2019-W37,5,63043,1229489.9723023176,19.502402682332974
2019,37,2019-W37,6,37653,735473.8054490685,19.53294041508163
2019,37,2019-W37,7,5,371.9600067138672,74.39200134277344
2019,37,2019-W37,8,3,134.44000244140625,44.813334147135414
2019,37,2019-W37,9,3,253.17999649047852,84.39333216349284
2019,38,2019-W38,0,38020,905648.8565168977,23.820327630639078
2019,38,2019-W38,1,1147472,22533818.384524383,19.637793675596775
2019,38,2019-W38,2,247120,5068707.234493295,20.511117005880926
2019,38,2019-W38,3,66544,1323495.7515813708,19.889032092771263
2019,38,2019-W38,4,29622,601614.3859548569,20.309715277660416
2019,38,2019-W38,5,61523,1216343.82229954,19.77055446417665
2019,38,2019-W38,6,38426,754171.1751206517,19.62658551815572
2019,38,2019-W38,7,6,342.7200040817261,57.12000068028768
2019,38,2019-W38,8,11,858.6300048828125,78.05727317116477
2019,38,2019-W38,9,7,643.6000099182129,91.94285855974469
2019,39,2019-W39,0,36883,912217.5564432144,24.732737479142543
2019,39,2019-W39,1,1074082,21783664.368945688,20.281193027111232
2019,39,2019-W39,2,234899,4918715.26476717,20.939702871307116
2019,39,2019-W39,3,63036,1290725.2912177145,20.476002462366182
2019,39,2019-W39,4,28162,582366.9258337021,20.679174981666858
2019,39,2019-W39,5,58897,1187888.0322394967,20.168905584995784
2019,39,2019-W39,6,35479,715524.6855962276,20.167555049359557
2019,39,2019-W39,7,11,808.7400045394897,73.52181859449907
2019,39,2019-W39,8,5,413.98999786376953,82.79799957275391
