source_year,tpep_pickup_datetime,pu_location_id,do_location_id,passenger_count,trip_distance,total_amount,tip_amount,tip_percentage
2024,2024-09-22 17:20:57,241,32,0,2.8,0.98,5.16,526.5305864269766
2024,2024-09-21 00:26:43,3,241,0,4.34,1.06,5.18,488.6792554682204
2024,2024-09-07 20:27:20,112,255,0,0.93,0.5,2.02,403.99999618530273
2024,2024-09-15 00:44:30,241,241,0,0.0,1.63,5.27,323.31288321124373
2024,2024-09-13 16:07:00,237,162,0,1.06,1.1,3.52,319.9999913302337
2024,2024-09-10 20:05:03,113,231,0,1.04,1.1,3.52,319.9999913302337
2024,2024-09-21 18:08:53,148,79,0,0.8,0.78,2.0,256.41026581532896
2022,2022-09-09 20:34:50,211,113,1,0.86,8.2,20.0,243.90244469764627
2022,2022-09-22 23:46:07,162,68,1,1.66,8.2,20.0,243.90244469764627
2021,2021-09-09 09:58:23,246,246,1,0.0,4.2,10.0,238.09524890787256
2024,2024-09-22 01:53:06,69,247,0,3.95,1.72,3.62,210.4651061246821
2024,2024-09-22 17:29:08,211,255,0,3.52,3.78,7.0,185.18518658682294
2024,2024-09-07 16:21:37,107,43,0,3.13,3.72,6.45,173.3870903134057
2024,2024-09-25 19:11:00,48,161,0,0.8,2.54,3.76,148.03149791073983
2024,2024-09-21 05:36:47,168,247,0,0.62,2.63,3.77,143.3460006418264
2024,2024-09-29 21:58:02,47,94,0,1.63,2.63,3.77,143.3460006418264
2024,2024-09-26 20:58:31,147,247,0,3.4,2.72,3.79,139.33823242603086
2024,2024-09-28 21:42:40,61,37,0,2.99,2.92,3.82,130.8219121038904
2024,2024-09-02 17:17:59,142,161,0,2.35,1.53,2.0,130.71895669274468
2024,2024-09-07 11:52:37,137,161,0,1.5,3.41,3.9,114.36950138426103
2024,2024-09-29 19:27:54,71,76,0,2.63,3.45,3.91,113.33333425475777
2021,2021-09-27 15:40:43,264,264,1,3.49,1.0,1.0,100.0
2020,2020-09-21 07:06:49,264,264,1,0.0,0.01,0.01,100.0
2022,2022-09-08 08:18:51,264,264,1,0.0,0.01,0.01,100.0
2022,2022-09-02 11:54:27,264,264,1,0.0,0.01,0.01,100.0
2020,2020-09-14 13:52:56,264,264,1,0.0,0.66,0.66,100.0
2020,2020-09-28 10:35:13,264,264,1,0.0,0.01,0.01,100.0
2022,2022-09-28 11:30:30,264,264,1,0.0,0.11,0.11,100.0
2022,2022-09-13 16:55:08,264,264,1,0.0,1.29,1.29,100.0
2022,2022-09-03 11:32:19,264,264,1,0.0,0.01,0.01,100.0
2020,2020-09-15 09:23:46,264,264,1,0.0,0.66,0.66,100.0
2020,2020-09-08 14:05:48,189,244,1,0.0,10.0,10.0,100.0
2021,2021-09-13 08:54:46,264,264,1,0.0,0.01,0.01,100.0
2022,2022-09-15 12:21:24,264,264,1,0.0,0.01,0.01,100.0
2022,2022-09-08 08:15:58,264,264,1,0.0,0.01,0.01,100.0
2023,2023-09-16 16:30:50,264,264,1,0.0,0.01,0.01,100.0
2021,2021-09-02 13:29:58,264,264,1,0.0,0.01,0.01,100.0
2020,2020-09-17 07:33:50,264,264,1,0.0,0.66,0.66,100.0
2022,2022-09-22 21:53:55,264,264,1,0.0,20.0,20.0,100.0
2022,2022-09-02 12:18:03,264,264,0,0.0,9.0,9.0,100.0
2022,2022-09-12 19:26:30,264,264,1,0.0,1.29,1.29,100.0
2023,2023-09-15 14:57:32,264,264,1,0.0,0.9,0.9,100.0
2023,2023-09-18 15:26:35,264,264,1,0.0,0.01,0.01,100.0
2023,2023-09-05 11:19:52,264,264,1,0.0,0.01,0.01,100.0
2020,2020-09-02 13:14:58,264,264,1,0.0,0.01,0.01,100.0
2022,2022-09-02 11:11:06,264,264,1,0.0,0.01,0.01,100.0
2022,2022-09-02 10:51:17,264,264,1,0.0,0.01,0.01,100.0
2021,2021-09-15 12:14:31,264,264,1,0.0,0.01,0.01,100.0
2021,2021-09-17 10:46:25,264,264,1,0.0,0.01,0.01,100.0
2019,2019-09-13 12:08:41,265,265,2,0.8,410.3,410.0,99.92688574167833
2020,2020-09-19 20:01:13,265,265,1,64.9,310.3,310.0,99.90332329849497
2018,2018-09-27 08:17:44,143,265,1,46.3,250.31,250.0,99.87615454371887
2019,2019-09-14 18:02:58,1,1,1,0.0,250.0,249.69,99.8760009765625
2017,2017-09-27 18:51:58,219,265,1,39.6,220.3,220.0,99.86382067743898
2017,2017-09-09 18:35:39,265,265,1,0.5,210.3,210.0,99.8573451985714
2018,2018-09-19 01:21:11,234,234,2,1.3,200.3,200.0,99.85022314169396
2017,2017-09-16 04:17:53,264,264,1,30.6,200.3,200.0,99.85022314169396
2021,2021-09-07 18:49:19,265,265,1,0.0,205.31,205.0,99.8490100032731
2022,2022-09-14 08:42:33,265,265,6,0.2,180.3,180.0,99.8336089591348
2017,2017-09-06 01:20:50,132,265,1,25.2,180.3,180.0,99.8336089591348
