pickup_year,pickup_week,pickup_yearweek,avg_tip_percentage
2002,1,2002-W01,6.786003604942614
2008,1,2008-W01,10.237570791234578
2009,1,2009-W01,6.929290956177941
2023,52,2023-W52,11.25213671380968
2024,1,2024-W01,11.038426471145305
2024,2,2024-W02,11.892328783745945
2024,3,2024-W03,11.860546256160534
2024,4,2024-W04,11.954965435370742
2024,5,2024-W05,12.027702052676585
2024,6,2024-W06,11.940045148716015
2024,7,2024-W07,11.42569866538512
2024,8,2024-W08,11.628998700883516
2024,9,2024-W09,11.256719893249121
2024,10,2024-W10,11.055740709900302
2024,11,2024-W11,10.93152339859755
2024,12,2024-W12,10.884256756603584
2024,13,2024-W13,10.46018858148329
2024,14,2024-W14,10.340106985450626
2024,15,2024-W15,10.567312115352511
2024,16,2024-W16,11.076537794563212
2024,17,2024-W17,11.412509090689523
2024,18,2024-W18,11.18596106417211
2024,19,2024-W19,10.991672505313877
2024,20,2024-W20,10.689367199243769
2024,21,2024-W21,10.82961317817404
2024,22,2024-W22,10.893446804380307
2024,23,2024-W23,10.668783035379613
2024,24,2024-W24,11.094058361797652
2024,25,2024-W25,10.966194489307082
2024,26,2024-W26,10.5260113224959
2024,27,2024-W27,10.433954380922852
2024,28,2024-W28,10.754176541164766
2024,29,2024-W29,10.505954003631938
2024,30,2024-W30,10.880495531722792
2024,31,2024-W31,10.745820832069642
2024,32,2024-W32,10.571675290149024
2024,33,2024-W33,10.8252162893516
2024,34,2024-W34,10.845997827091878
2024,35,2024-W35,10.493962152667972
2024,36,2024-W36,10.553872531718083
2024,37,2024-W37,10.339692406987536
2024,38,2024-W38,10.56331253736123
2024,39,2024-W39,10.800516868844943
2024,40,2024-W40,11.137808198434309
2024,41,2024-W41,11.015449934754178
2024,42,2024-W42,10.995318437416564
2024,43,2024-W43,11.048793493893777
2024,44,2024-W44,10.881023234960145
2024,45,2024-W45,11.378934123923983
2024,46,2024-W46,10.981100855096084
2024,47,2024-W47,11.160425608136784
2024,48,2024-W48,10.939035879304047
2024,49,2024-W49,11.582304027037255
2024,50,2024-W50,11.59015388761392
2024,51,2024-W51,11.261229847633922
2024,52,2024-W52,10.476798642408577
2025,2,2025-W02,19.991601577692176
2025,3,2025-W03,0.0
2025,6,2025-W06,19.99999911798907
2025,9,2025-W09,0.0
2025,12,2025-W12,16.66666626284117
2026,26,2026-W26,18.334474212493433
