tpep_pickup_datetime,pu_location_id,do_location_id,passenger_count,trip_distance,total_amount,tip_amount,tip_percentage
2024-06-28 19:50:47,164,164,1,0.4,0.24,24.44,10183.333783472588
2024-08-21 19:10:30,163,17,0,0.0,0.14,5.0,3571.4285562233053
2024-08-12 20:28:07,234,164,0,0.89,0.3,4.0,1333.333280351429
2024-07-28 09:31:36,211,107,0,2.02,0.42,3.4,809.5238575048743
2024-06-22 23:29:15,114,158,0,1.67,0.16,1.0,625.000013969839
2024-06-06 15:32:56,140,236,1,1.61,4.4,24.0,545.4545336321369
2024-09-22 17:20:57,241,32,0,2.8,0.98,5.16,526.5305864269766
2024-09-21 00:26:43,3,241,0,4.34,1.06,5.18,488.6792554682204
2024-07-17 21:27:55,87,148,0,1.56,0.87,4.0,459.7701124225807
2024-05-01 10:25:05,130,130,0,1.27,0.46,2.0,434.7826008084592
2024-09-07 20:27:20,112,255,0,0.93,0.5,2.02,403.99999618530273
2024-03-09 01:01:43,114,90,0,1.36,0.69,2.7,391.3043560888607
2024-08-13 12:36:44,107,237,0,2.88,1.62,5.27,325.3086398404067
2024-09-15 00:44:30,241,241,0,0.0,1.63,5.27,323.31288321124373
2024-09-10 20:05:03,113,231,0,1.04,1.1,3.52,319.9999913302337
2024-09-13 16:07:00,237,162,0,1.06,1.1,3.52,319.9999913302337
2024-11-12 21:21:20,4,148,0,1.11,1.1,3.52,319.9999913302337
2024-10-19 11:50:09,4,113,0,1.06,1.1,3.52,319.9999913302337
2024-12-04 00:54:31,230,239,0,1.66,1.1,3.52,319.9999913302337
2024-11-02 17:04:09,234,79,0,1.72,1.1,3.52,319.9999913302337
2024-04-20 23:48:56,100,233,0,0.67,0.95,2.73,287.3684266663655
2024-01-16 12:57:21,170,140,0,1.51,1.24,3.54,285.48386569573904
2024-01-13 20:33:09,236,113,0,4.12,2.31,6.22,269.2640668513327
2024-04-06 00:27:24,237,161,0,0.99,1.38,3.56,257.97101123772154
2024-09-21 18:08:53,148,79,0,0.8,0.78,2.0,256.41026581532896
2024-10-21 22:34:06,68,230,0,1.03,1.58,4.0,253.16455008566848
2024-03-13 21:28:23,249,13,0,2.24,1.48,3.58,241.89188361951616
2024-03-06 10:25:12,116,143,0,3.84,1.79,4.15,231.84358568763918
2024-05-18 23:49:14,256,188,0,3.89,2.44,5.41,221.72130002221985
2024-05-30 23:22:50,48,164,0,1.75,1.39,3.0,215.82734035067256
2024-11-30 11:19:24,163,170,0,1.78,0.89,1.9,213.48314681990465
2024-09-22 01:53:06,69,247,0,3.95,1.72,3.62,210.4651061246821
2024-03-08 22:52:45,231,114,0,0.85,1.86,3.64,195.69892886608702
2024-06-23 11:34:00,230,239,0,1.39,4.3,8.0,186.0465033754525
2024-09-22 17:29:08,211,255,0,3.52,3.78,7.0,185.18518658682294
2024-12-25 13:00:47,33,45,0,2.2,2.76,5.0,181.15942091582278
2024-07-07 00:11:10,125,79,0,1.33,2.06,3.68,178.64078490176112
2024-02-02 20:44:47,246,100,0,1.03,2.07,3.68,177.77778673607142
2024-05-17 18:36:00,142,43,0,1.76,1.6,2.82,176.24999320134532
2024-09-07 16:21:37,107,43,0,3.13,3.72,6.45,173.3870903134057
2024-04-12 20:28:05,161,68,0,1.34,1.75,2.84,162.28570938110352
2024-08-18 11:11:20,224,162,0,1.85,2.33,3.72,159.65665881624864
2024-07-12 11:33:00,68,143,0,1.94,2.97,4.66,156.90235025326555
2024-08-28 19:19:41,213,213,0,0.5,2.38,3.73,156.72268234111806
2024-08-31 23:40:00,169,69,0,2.05,2.38,3.73,156.72268234111806
2024-02-14 23:03:44,36,17,0,2.65,2.42,3.74,154.54545006726948
2024-12-01 10:38:00,163,234,0,1.91,1.86,2.85,153.22580014588397
2024-08-10 11:33:35,80,61,0,2.74,2.48,3.75,151.20967625641302
2024-12-24 18:18:41,107,164,0,0.0,2.54,3.76,148.03149791073983
2024-09-25 19:11:00,48,161,0,0.8,2.54,3.76,148.03149791073983
2024-12-20 19:51:33,261,158,0,0.01,2.54,3.76,148.03149791073983
2024-12-10 22:06:57,107,113,0,0.61,2.54,3.76,148.03149791073983
2024-12-06 23:51:40,79,211,0,1.23,2.54,3.76,148.03149791073983
2024-07-28 17:43:00,100,246,0,1.52,2.54,3.76,148.03149791073983
2024-05-26 17:17:17,246,68,0,0.42,2.54,3.76,148.03149791073983
2024-08-30 11:00:35,239,161,0,2.12,2.61,3.77,144.4444495193399
2024-05-22 10:20:53,192,92,0,0.0,2.63,3.77,143.3460006418264
2024-09-21 05:36:47,168,247,0,0.62,2.63,3.77,143.3460006418264
2024-10-06 19:49:11,153,127,0,1.88,2.63,3.77,143.3460006418264
2024-09-29 21:58:02,47,94,0,1.63,2.63,3.77,143.3460006418264
2024-08-16 01:47:42,116,168,0,2.76,2.69,3.78,140.5204420439899
2024-09-26 20:58:31,147,247,0,3.4,2.72,3.79,139.33823242603086
2024-07-12 20:56:50,186,170,0,1.24,2.2,2.9,131.8181832959829
2024-11-07 19:29:03,69,235,0,0.0,2.91,3.82,131.2714714973055
2024-09-28 21:42:40,61,37,0,2.99,2.92,3.82,130.8219121038904
2024-09-02 17:17:59,142,161,0,2.35,1.53,2.0,130.71895669274468
2024-04-08 00:42:17,79,13,0,2.77,2.93,3.82,130.37542137228036
2024-10-17 17:29:00,246,90,0,0.82,1.65,2.0,121.21212296358922
2024-04-06 22:53:36,234,100,0,1.24,3.27,3.88,118.65443844258274
2024-11-05 17:50:09,143,163,0,1.62,2.53,2.94,116.20553717261384
2024-11-03 05:23:50,68,138,0,10.92,8.5,9.75,114.70588235294117
2024-09-07 11:52:37,137,161,0,1.5,3.41,3.9,114.36950138426103
2024-09-29 19:27:54,71,76,0,2.63,3.45,3.91,113.33333425475777
2024-06-16 21:32:30,195,189,0,2.88,3.54,3.92,110.73446662530486
2024-11-01 00:31:07,49,72,0,3.06,3.69,3.95,107.04607009299359
2024-11-16 21:28:32,162,161,0,0.68,3.76,3.96,105.31915021784546
2024-04-28 00:27:09,137,163,0,1.88,3.78,3.96,104.76190656401043
2024-12-17 15:37:37,112,138,0,3.53,39.7,40.0,100.75566557001329
2024-08-10 10:45:43,161,75,0,2.6,3.99,4.0,100.25062632680088
2024-08-24 19:22:44,233,230,0,1.67,4.99,5.0,100.20040539760575
2024-03-04 13:03:37,264,264,1,0.0,0.01,0.01,100.0
2024-01-12 10:50:48,264,264,1,0.0,1.01,1.01,100.0
2024-03-11 07:23:51,264,264,1,0.0,0.01,0.01,100.0
2024-05-14 14:17:38,264,264,1,0.0,0.08,0.08,100.0
2024-05-17 12:39:33,264,264,1,3.01,4.62,4.62,100.0
2024-01-16 11:02:44,264,264,1,0.0,0.01,0.01,100.0
2024-03-11 07:46:55,264,264,1,0.0,0.01,0.01,100.0
2024-01-11 12:09:51,264,264,1,7.97,1.0,1.0,100.0
2024-03-12 21:40:11,264,264,1,0.0,0.01,0.01,100.0
2024-03-04 13:02:09,264,264,1,0.0,0.01,0.01,100.0
2024-01-23 13:54:44,264,264,1,0.0,0.01,0.01,100.0
2024-03-05 14:16:06,264,264,1,1.9,1.0,1.0,100.0
2024-05-16 11:34:28,264,264,1,0.75,4.62,4.62,100.0
2024-05-09 06:59:30,264,264,4,4.88,20.0,20.0,100.0
2024-01-25 12:44:21,264,264,1,0.0,1.01,1.01,100.0
2024-03-10 10:30:45,264,264,1,0.0,0.01,0.01,100.0
2024-07-29 11:08:25,260,226,1,0.0,3.7,3.7,100.0
